ID,Q1,Q2,IA1,IA2,IA3,IA4,IA5,IA6,IA7,IA8,IB1,IB2,IB3,IB4,IB5,IB6,IB7,IB8,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,IE1,IE2,IE3,IE4,IE5,IE6,IE7,IE8,IIA1,IIA2,IIA3,IIA4,IIA5,IIA6,IIA7,IIA8,IIB1,IIB2,IIB3,IIB4,IIB5,IIB6,IIB7,IIB8,IIC1,IIC2,IIC3,IIC4,IIC5,IIC6,IIC7,IIC8,IID1,IID2,IID3,IID4,IID5,IID6,IID7,IID8,IIE1,IIE2,IIE3,IIE4,IIE5,IIE6,IIE7,IIE8
R01,5,3,4,2,3,2,4,5,2,4,2,2,5,2,3,2,2,4,3,3,4,5,4,4,4,4,3,3,3,3,3,3,3,3,5,3,3,3,4,4,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
R02,6,6,3,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6,6,6,6,5,5,5,6,3,5,5,5,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6
R03,5,4,3,4,3,3,4,4,4,5,4,4,2,3,4,2,5,3,4,4,4,3,4,6,2,2,6,5,4,3,3,3,3,4,3,2,3,3,3,3,3,3,5,6,5,4,4,6,5,4,4,4,6,4,5,4,6,5,5,4,5,5,6,4,4,4,3,2,4,4,4,4,5,4,6,5,5,6,4,5,4,5
R04,6,4,5,4,6,5,2,5,2,6,4,5,3,5,6,3,4,5,5,6,5,5,6,4,4,1,3,5,6,5,3,2,1,1,3,1,1,1,1,1,4,3,6,5,2,6,4,6,6,6,4,6,4,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,4,4,6,6,6,6,6
R05,5,3,4,4,2,4,3,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R06,3,2,6,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
R07,5,5,2,3,2,3,3,5,1,4,5,4,2,3,4,2,4,1,1,4,3,5,5,2,1,4,4,6,5,3,4,4,4,4,3,1,2,3,3,1,4,2,6,5,4,5,5,6,6,5,6,5,3,4,3,4,6,5,4,3,4,4,5,3,4,5,5,6,5,6,4,3,4,2,5,4,4,4,4,3,4,4
R08,4,5,6,2,2,2,5,5,6,4,2,2,1,2,2,3,3,3,4,4,4,4,5,4,2,3,4,6,5,4,4,3,4,2,4,2,3,5,6,1,2,3,5,6,6,6,6,4,5,6,6,6,4,6,6,5,4,5,4,4,6,6,6,4,4,6,5,5,5,5,4,5,5,5,5,4,3,5,5,5,4,6
R09,6,4,6,4,5,5,5,5,5,5,5,5,5,6,5,5,5,5,4,5,4,4,4,4,5,4,5,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,6,4,6,6,5,6,6,5,5,6,5,6,5,6,6,5,5,5,6,5,6,5,5,5,5,5,4,4,6,6,6,5,5,5,5,5,5,5,5,6
R10,5,4,5,5,4,4,4,4,4,4,4,5,6,4,5,4,5,6,5,5,6,6,5,5,5,5,5,5,4,5,5,5,5,4,6,4,4,5,5,3,4,5,5,5,4,4,5,5,5,4,4,5,4,5,4,4,4,5,4,4,4,4,5,5,4,4,5,5,5,4,4,5,5,4,5,4,5,4,4,4,4,4
R11,2,1,4,4,5,6,4,3,5,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,4,3,3,3,3,2,2,4,4,4,4,4,2,4,4,5,4,4,4,5,4,4,4,4,4,4,5,4,5,5,5,4,5,5,4,4,5,4,5,2,3,3,3,4,4,3,3,4,4,5,4,2,4
R12,4,5,3,4,2,2,4,5,3,4,3,3,4,3,5,3,4,4,5,5,5,5,5,3,3,4,5,5,4,4,4,4,4,4,4,4,5,4,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R13,6,4,6,4,5,1,5,6,6,6,5,5,5,2,5,2,5,6,6,6,6,6,6,5,2,5,6,6,6,6,6,6,6,5,6,5,6,6,5,4,6,6,6,5,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,4,5,6,6,5,6,6
